$\ddot x^0$,$\ddot y^0$,$\omega_z^0$,$\ddot x^1$,$\ddot y^1$,$\omega_z^1$,$\ddot x^2$,$\ddot y^2$,$\omega_z^2$,$\ddot x^3$,$\ddot y^3$,$\omega_z^3$,$\dot x^4$,$\dot y^4$,$\ddot x^4$,$\ddot y^4$,$\dot x^5$,$\dot y^5$,$\ddot x^5$,$\ddot y^5$
-1.821813904698700970e+00,1.190017576110531472e+01,2.550071302386229810e+00,-4.852857637152199644e+00,1.237330349450398792e+01,-1.280893566848123832e+00,3.385255302787437692e+00,8.980552055107034803e+00,-8.001677269379628421e-02,1.492540620005190499e+00,9.627988123020749356e+00,-8.757331881760143100e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.361383796154473913e+00,1.185390362816395715e+01,2.514128567600856012e+00,-6.011847356914296725e+00,1.182506819916688379e+01,-1.240907968506707482e+00,3.043565191240494627e+00,8.880005514030022695e+00,-9.257883723151415223e-02,1.060646288438475082e+00,9.790665449440627555e+00,-8.714813501150208142e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.962155908088632383e+00,1.160994809267516459e+01,2.441278498622309723e+00,-6.424099224642171535e+00,1.146728518499007876e+01,-1.204666920346499692e+00,2.108683991123112555e+00,9.413049274497641505e+00,-1.109248029439333511e-01,3.371245714655513592e-01,9.618804403128635272e+00,-8.888154441176403520e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.042005162141284913e+00,1.196853109010561234e+01,2.381178405761669836e+00,-6.927154072930089335e+00,1.053415066099414865e+01,-1.080060854846499829e+00,2.099709590485917765e+00,9.573532504840093438e+00,-1.562284316883256474e-01,3.424233276146864680e-01,9.868236409664062236e+00,-7.898118648357712601e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.883104695569143061e+00,1.174836404354631192e+01,2.242770700879629597e+00,-7.394055456830744610e+00,9.943405868870947018e+00,-1.029108587887372250e+00,1.617350428162455778e+00,9.982116159857840287e+00,-2.251113784999789202e-01,-2.657584561190602934e-01,9.721601773465382124e+00,-7.936098584870968642e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.041849902331670741e+00,1.171708715466732542e+01,2.125713678469409285e+00,-7.427810049666562442e+00,9.347522433961978905e+00,-9.015209262736424423e-01,1.651615334586983508e+00,9.750421227588310202e+00,-3.083774475732982134e-01,-5.928690108112230628e-02,9.922673440215014296e+00,-7.166350938646141033e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.524047698966039643e+00,1.137429305504140409e+01,2.029146995716365254e+00,-7.168029805169762625e+00,8.738291117211428372e+00,-8.004145490197785984e-01,1.552736385151895826e+00,9.635961692168113046e+00,-3.675602396686964424e-01,1.052577721386405152e-02,9.776766150938639655e+00,-6.687022896256914484e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.324016663723439624e+00,1.103761756151984486e+01,1.899694076789146369e+00,-7.068822687878183686e+00,8.632330516340422477e+00,-7.434499622910148986e-01,1.819721493297964843e+00,9.697439462328615534e+00,-4.347397570630128771e-01,2.642072023926724800e-01,9.619792821454050014e+00,-6.449240822652948513e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.216308545689285037e+00,1.117645733853903955e+01,1.791901262317146859e+00,-6.715964994038265523e+00,8.398614329842358117e+00,-5.711902510901334384e-01,1.903554976832016354e+00,9.637160621540763472e+00,-4.864537011206253592e-01,1.236500155301960280e-02,9.563449233697379981e+00,-5.843607770793731726e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.540710601455319129e+00,1.100097555471750965e+01,1.649222567264405193e+00,-6.810132267001600681e+00,7.775013866514504102e+00,-5.445099880897150690e-01,1.786423630161058318e+00,9.504772692494782405e+00,-5.473895532992518742e-01,2.377491583277784870e-01,9.486334197184115524e+00,-5.262104456623667437e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.926745295635246213e+00,1.088795547894888927e+01,1.624034832616890300e+00,-6.342725062773519440e+00,7.831181816892216929e+00,-4.643544326277913026e-01,1.779429562357881300e+00,9.204667293855655075e+00,-5.466455393495990300e-01,-8.803561655008509956e-02,9.610611369619041611e+00,-5.066101886918158437e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.713399289661750480e+00,1.073611892944992618e+01,1.556982165241844074e+00,-6.481907747712525314e+00,7.991798308498253789e+00,-3.568630461349258653e-01,1.739850071463356684e+00,9.630133815808536113e+00,-6.281581430765970087e-01,3.120257465848162021e-02,9.659146588027976321e+00,-4.589171336826577963e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.271006398055898767e-01,1.033615019876089036e+01,1.448812787613749986e+00,-6.052734610624667333e+00,7.702422948996396457e+00,-3.107230461979609837e-01,2.442566775095718068e+00,8.958924170061447256e+00,-6.266037307837727388e-01,3.203460731240346804e-01,9.715127103895623506e+00,-4.032346053297975463e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.925318985961735785e-01,1.009915577014241705e+01,1.410859657847151283e+00,-5.413970016974308130e+00,7.716572659303277959e+00,-2.502621322141236337e-01,3.169852041681301635e+00,9.054431781205821039e+00,-6.820865486148742773e-01,9.278709660699100414e-01,9.798465777293783319e+00,-4.260686159165099074e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.453564566496777288e-01,9.620485555629523233e+00,1.381335976275397170e+00,-5.189876731318728176e+00,8.021136138635664992e+00,-2.077942067428687756e-01,3.280695715571178450e+00,9.039312343728239441e+00,-6.827245802204299219e-01,9.494136793195224744e-01,1.006630902260887872e+01,-4.243956054528130739e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.743301458596459685e-01,9.799896565124921466e+00,1.317794380234021734e+00,-4.837984310285114553e+00,8.019462334115058155e+00,-1.854934209165280401e-01,3.595449434013879397e+00,8.991333611910572898e+00,-5.981887916679915485e-01,1.642722479008276171e+00,9.377304526980605459e+00,-4.417624013857008869e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.612038609832632696e-01,9.336696439745269416e+00,1.345191040471490185e+00,-4.902102671402614575e+00,8.441226893336553516e+00,-2.025818763857962779e-01,3.989978945942567190e+00,8.522959515825908383e+00,-5.638134856057773758e-01,1.464049886619146701e+00,9.435798356909250728e+00,-4.737224131689896645e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.090640351364333016e+00,9.592251211547605294e+00,1.316578157804781490e+00,-4.669727983023926221e+00,8.341856301111542749e+00,-1.421568474487492906e-01,4.256428723289878313e+00,8.753588029494176581e+00,-5.598491351098211499e-01,1.745488798131075825e+00,9.473896724814041548e+00,-5.371663974142071307e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.212257017456040975e+00,9.667829130966742568e+00,1.295669498683128529e+00,-5.004578829717854838e+00,8.504258960398898282e+00,-1.364861232132300872e-01,4.062785465110854588e+00,8.987233144544525487e+00,-5.496725997667476493e-01,1.862833553519851248e+00,9.916947852384321749e+00,-5.387540406814164129e-01,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
