$x_H$,$y_H$,$\varphi_0$,$\varphi_1$,$\varphi_2$,$\varphi_3$,$\dot x_H$,$\dot y_H$,$\dot \varphi_0$,$\dot \varphi_1$,$\dot \varphi_2$,$\dot \varphi_3$,$\ddot x_H$,$\ddot y_H$,$\ddot \varphi_0$,$\ddot \varphi_1$,$\ddot \varphi_2$,$\ddot \varphi_3 $
5.679032765328884125e-03,1.057526946067810059e+00,-1.284626573324203491e-01,-2.479311078786849976e-01,3.663966953754425049e-01,-1.898009479045867920e-01,5.679032802581787109e-01,9.632024168968200684e-02,2.536291122436523438e+00,-3.798610210418701172e+00,-7.816346734762191772e-02,-8.181933164596557617e-01,-4.070522738319759526e-11,5.051798652857542038e-03,-1.776229619979858398e+00,3.315852880477905273e+00,-2.952884435653686523e-01,5.358136892318725586e-01
1.135806553065776825e-02,1.058492422103881836e+00,-1.032355502247810364e-01,-2.856631875038146973e-01,3.655736148357391357e-01,-1.979081034660339355e-01,5.679032802581787109e-01,9.697399288415908813e-02,2.504284858703613281e+00,-3.738703966140747070e+00,-8.926833420991897583e-02,-7.981761097908020020e-01,-1.251775350041839374e-10,1.282222568988800049e-01,-4.654972076416015625e+00,8.721948623657226562e+00,-1.955715417861938477e+00,3.521540880203247070e+00
1.703709736466407776e-02,1.059471368789672852e+00,-7.847560942173004150e-02,-3.225195407867431641e-01,3.645479679107666016e-01,-2.056505978107452393e-01,5.679032802581787109e-01,9.909614175558090210e-02,2.442664146423339844e+00,-3.623064994812011719e+00,-1.194728910923004150e-01,-7.438271641731262207e-01,-2.756526118474766918e-10,2.981587052345275879e-01,-7.674005031585693359e+00,1.441604423522949219e+01,-4.105451583862304688e+00,7.384564876556396484e+00
2.271613106131553650e-02,1.060479044914245605e+00,-5.447009950876235962e-02,-3.579585254192352295e-01,3.631227016448974609e-01,-2.126741558313369751e-01,5.679032802581787109e-01,1.025999858975410461e-01,2.354971647262573242e+00,-3.458162069320678711e+00,-1.678743213415145874e-01,-6.567513346672058105e-01,-5.076411513371681394e-10,3.978184163570404053e-01,-9.805368423461914062e+00,1.845410728454589844e+01,-5.525056838989257812e+00,9.941561698913574219e+00
2.839516289532184601e-02,1.061525940895080566e+00,-3.143418952822685242e-02,-3.915725052356719971e-01,3.611520826816558838e-01,-2.187163531780242920e-01,5.679032802581787109e-01,1.068522036075592041e-01,2.250174283981323242e+00,-3.260730981826782227e+00,-2.276065349578857422e-01,-5.492394566535949707e-01,-8.333688183981280417e-10,4.487758278846740723e-01,-1.108439445495605469e+01,2.090210723876953125e+01,-6.375846385955810547e+00,1.147918987274169922e+01
3.407419472932815552e-02,1.062617421150207520e+00,-9.498947300016880035e-03,-4.231107831001281738e-01,3.585475087165832520e-01,-2.236172258853912354e-01,5.679032802581787109e-01,1.114885658025741577e-01,2.135936021804809570e+00,-3.045066356658935547e+00,-2.941372692584991455e-01,-4.294210374355316162e-01,-1.259429671662815053e-09,4.763854742050170898e-01,-1.169824600219726562e+01,2.210958671569824219e+01,-6.899716377258300781e+00,1.242952537536621094e+01
3.975322842597961426e-02,1.063755393028259277e+00,1.127596478909254074e-02,-4.524560272693634033e-01,3.552632033824920654e-01,-2.272934019565582275e-01,5.679032802581787109e-01,1.160137876868247986e-01,2.019526958465576172e+00,-2.824811220169067383e+00,-3.620529770851135254e-01,-3.069967031478881836e-01,-1.784616232569646854e-09,4.175136983394622803e-01,-1.148343944549560547e+01,2.175212287902832031e+01,-6.575622081756591797e+00,1.186246585845947266e+01
4.543226212263107300e-02,1.064934849739074707e+00,3.090779855847358704e-02,-4.796360135078430176e-01,3.513260781764984131e-01,-2.297918647527694702e-01,5.679032802581787109e-01,1.196751594543457031e-01,1.908200383186340332e+00,-2.613677978515625000e+00,-4.238922894001007080e-01,-1.953232884407043457e-01,-2.394371145797435929e-09,3.090866208076477051e-01,-1.071397876739501953e+01,2.034619331359863281e+01,-5.730976104736328125e+00,1.036234378814697266e+01
5.111129581928253174e-02,1.066145539283752441e+00,4.946849122643470764e-02,-5.047817826271057129e-01,3.468124866485595703e-01,-2.312480509281158447e-01,5.679032802581787109e-01,1.223633736371994019e-01,1.805391550064086914e+00,-2.418134450912475586e+00,-4.778659045696258545e-01,-9.762652963399887085e-02,-3.056471298279461735e-09,2.359827011823654175e-01,-9.844250679016113281e+00,1.875694274902343750e+01,-5.117371559143066406e+00,9.272447586059570312e+00
5.679032579064369202e-02,1.067380666732788086e+00,6.704320758581161499e-02,-5.280488729476928711e-01,3.417816758155822754e-01,-2.317672818899154663e-01,5.679032802581787109e-01,1.246570125222206116e-01,1.710736989974975586e+00,-2.237420082092285156e+00,-5.283208489418029785e-01,-6.162255536764860153e-03,-3.715353802391518911e-09,2.353583723306655884e-01,-9.115549087524414062e+00,1.744174575805664062e+01,-5.074010848999023438e+00,9.199495315551757812e+00
6.246935948729515076e-02,1.068639278411865234e+00,8.370620757341384888e-02,-5.495715141296386719e-01,3.362430632114410400e-01,-2.313658446073532104e-01,5.679032802581787109e-01,1.271181702613830566e-01,1.622994065284729004e+00,-2.069146156311035156e+00,-5.796034336090087891e-01,8.681055158376693726e-02,-4.284191668091352767e-09,2.586854100227355957e-01,-8.435907363891601562e+00,1.621777534484863281e+01,-5.190036773681640625e+00,9.407822608947753906e+00
6.814838945865631104e-02,1.069922804832458496e+00,9.952869266271591187e-02,-5.694783926010131836e-01,3.301940560340881348e-01,-2.300390452146530151e-01,5.679032802581787109e-01,1.294371783733367920e-01,1.543231725692749023e+00,-1.915429949760437012e+00,-6.287191510200500488e-01,1.758916974067687988e-01,-4.640865913785319208e-09,1.796939224004745483e-01,-7.438457012176513672e+00,1.437323570251464844e+01,-4.414062023162841797e+00,8.015609741210937500e+00
7.382742315530776978e-02,1.071223258972167969e+00,1.146105974912643433e-01,-5.879543423652648926e-01,3.237134218215942383e-01,-2.279282659292221069e-01,5.679032802581787109e-01,1.302120089530944824e-01,1.475643515586853027e+00,-1.784449815750122070e+00,-6.636463403701782227e-01,2.395232170820236206e-01,-4.622668026144083342e-09,-5.784428492188453674e-02,-5.985912799835205078e+00,1.164076614379882812e+01,-2.291070938110351562e+00,4.208108425140380859e+00
7.950645685195922852e-02,1.072517752647399902e+00,1.290934234857559204e-01,-6.052652597427368164e-01,3.170040845870971680e-01,-2.253973931074142456e-01,5.679032802581787109e-01,1.282283365726470947e-01,1.423411250114440918e+00,-1.682448029518127441e+00,-6.740627884864807129e-01,2.591885924339294434e-01,-4.023448241241567302e-09,-3.382671773433685303e-01,-4.482335567474365234e+00,8.799457550048828125e+00,2.055628448724746704e-01,-2.717427015304565430e-01
8.518549054861068726e-02,1.073778986930847168e+00,1.431257128715515137e-01,-6.216918826103210449e-01,3.103106021881103516e-01,-2.228852808475494385e-01,5.679032802581787109e-01,1.236799061298370361e-01,1.384971737861633301e+00,-1.606511950492858887e+00,-6.615759134292602539e-01,2.377426028251647949e-01,-2.590454073470027652e-09,-5.506534576416015625e-01,-3.293393135070800781e+00,6.555016994476318359e+00,2.109532356262207031e+00,-3.690950155258178711e+00
9.086452424526214600e-02,1.074985623359680176e+00,1.568267643451690674e-01,-6.374593973159790039e-01,3.038243353366851807e-01,-2.207355648279190063e-01,5.679032802581787109e-01,1.174329295754432678e-01,1.356588602066040039e+00,-1.549531936645507812e+00,-6.337701678276062012e-01,1.887694001197814941e-01,-3.804256909489822647e-11,-6.817797422409057617e-01,-2.458368301391601562e+00,4.983768463134765625e+00,3.303973913192749023e+00,-5.839251995086669922e+00
9.654355794191360474e-02,1.076124191284179688e+00,1.702809631824493408e-01,-6.527266502380371094e-01,2.976670563220977783e-01,-2.191672325134277344e-01,5.679032802581787109e-01,1.101464554667472839e-01,1.335242867469787598e+00,-1.505776524543762207e+00,-5.963333845138549805e-01,1.224526613950729370e-01,3.940489268217106655e-09,-7.689430117607116699e-01,-1.851785898208618164e+00,3.844515562057495117e+00,4.131886005401611328e+00,-7.332280635833740234e+00
1.022225916385650635e-01,1.077186107635498047e+00,1.835489571094512939e-01,-6.676074862480163574e-01,2.919210195541381836e-01,-2.183286994695663452e-01,5.679032802581787109e-01,1.021679118275642395e-01,1.319011211395263672e+00,-1.471617579460144043e+00,-5.521118640899658203e-01,4.388023540377616882e-02,9.648540633122593135e-09,-8.152381777763366699e-01,-1.446211218833923340e+00,3.085053443908691406e+00,4.611582756042480469e+00,-8.201194763183593750e+00
1.079016178846359253e-01,1.078167080879211426e+00,1.966706365346908569e-01,-6.821765899658203125e-01,2.866315841674804688e-01,-2.183019965887069702e-01,5.679032802581787109e-01,9.409935027360916138e-02,1.305415511131286621e+00,-1.442353725433349609e+00,-5.065084695816040039e-01,-3.723803162574768066e-02,1.734560761690318031e-08,-7.690451145172119141e-01,-1.371600985527038574e+00,2.956143856048583984e+00,4.231493949890136719e+00,-7.522434234619140625e+00
1.135806515812873840e-01,1.079071521759033203e+00,2.096535712480545044e-01,-6.964470744132995605e-01,2.817606329917907715e-01,-2.190191894769668579e-01,5.679032802581787109e-01,8.707058429718017578e-02,1.290650367736816406e+00,-1.410722017288208008e+00,-4.701660275459289551e-01,-1.017315015196800232e-01,2.718695846226637514e-08,-6.097431182861328125e-01,-1.668650388717651367e+00,3.536617040634155273e+00,2.781320571899414062e+00,-4.915391445159912109e+00
1.192596852779388428e-01,1.079915165901184082e+00,2.224691361188888550e-01,-7.103629112243652344e-01,2.771667540073394775e-01,-2.202260047197341919e-01,5.679032802581787109e-01,8.199049532413482666e-02,1.271705150604248047e+00,-1.370984196662902832e+00,-4.516842663288116455e-01,-1.340993940830230713e-01,3.915207003046816681e-08,-4.080899357795715332e-01,-2.123883962631225586e+00,4.416559219360351562e+00,9.343260526657104492e-01,-1.592916131019592285e+00
1.249387189745903015e-01,1.080717802047729492e+00,2.350725382566452026e-01,-7.238375544548034668e-01,2.726674377918243408e-01,-2.215941697359085083e-01,5.679032802581787109e-01,7.884112745523452759e-02,1.248289942741394043e+00,-1.322625756263732910e+00,-4.508245587348937988e-01,-1.347698718309402466e-01,5.294691263202366827e-08,-2.322450429201126099e-01,-2.536499977111816406e+00,5.210664272308349609e+00,-6.622951626777648926e-01,1.278463244438171387e+00
1.306177526712417603e-01,1.081497073173522949e+00,2.474228143692016602e-01,-7.367921471595764160e-01,2.681039869785308838e-01,-2.228381782770156860e-01,5.679032802581787109e-01,7.721266150474548340e-02,1.221286296844482422e+00,-1.267376065254211426e+00,-4.636911451816558838e-01,-1.107633113861083984e-01,6.788888384789970587e-08,-1.100227683782577515e-01,-2.823949098587036133e+00,5.761241912841796875e+00,-1.758648872375488281e+00,3.248187780380249023e+00
