$\ddot x^0$,$\ddot y^0$,$\omega_z^0$,$\ddot x^1$,$\ddot y^1$,$\omega_z^1$,$\ddot x^2$,$\ddot y^2$,$\omega_z^2$,$\ddot x^3$,$\ddot y^3$,$\omega_z^3$,$\dot x^4$,$\dot y^4$,$\ddot x^4$,$\ddot y^4$,$\dot x^5$,$\dot y^5$,$\ddot x^5$,$\ddot y^5$
-1.821813904698700970e+00,1.190017576110531472e+01,2.550071302386229810e+00,-4.852857637152199644e+00,1.237330349450398792e+01,-1.280893566848123832e+00,3.385255302787437692e+00,8.980552055107034803e+00,-8.001677269379628421e-02,1.492540620005190499e+00,9.627988123020749356e+00,-8.757331881760143100e-01,1.121228116612039916e+00,2.122522759328540065e-01,7.417812677123138965e-01,3.858301460192730126e+00,1.965908510765057571e-03,-1.216372152222319758e-02,-8.155821777607842604e-02,4.549387488587928186e-01
-2.361383796154473913e+00,1.185390362816395715e+01,2.514128567600856012e+00,-6.011847356914296725e+00,1.182506819916688379e+01,-1.240907968506707482e+00,3.043565191240494627e+00,8.880005514030022695e+00,-9.257883723151415223e-02,1.060646288438475082e+00,9.790665449440627555e+00,-8.714813501150208142e-01,1.128034153093861347e+00,2.487704373419877824e-01,6.126847627641758276e-01,3.407860039784108785e+00,1.218655524513501121e-03,-7.840646296016939854e-03,-6.720040072146825361e-02,4.050660936814222679e-01
-2.962155908088632383e+00,1.160994809267516459e+01,2.441278498622309723e+00,-6.424099224642171535e+00,1.146728518499007876e+01,-1.204666920346499692e+00,2.108683991123112555e+00,9.413049274497641505e+00,-1.109248029439333511e-01,3.371245714655513592e-01,9.618804403128635272e+00,-8.888154441176403520e-01,1.133418634041458262e+00,2.798005803040439776e-01,4.593339017507549471e-01,2.763781598711124943e+00,6.376931860263557184e-04,-4.161272268255036821e-03,-4.844864344028318448e-02,3.258249528648939908e-01
-4.042005162141284913e+00,1.196853109010561234e+01,2.381178405761669836e+00,-6.927154072930089335e+00,1.053415066099414865e+01,-1.080060854846499829e+00,2.099709590485917765e+00,9.573532504840093438e+00,-1.562284316883256474e-01,3.424233276146864680e-01,9.868236409664062236e+00,-7.898118648357712601e-01,1.137229838120387804e+00,3.038126888433038686e-01,3.023774738287229313e-01,2.022524935900698040e+00,2.530913319147565232e-04,-1.371820698250161841e-03,-2.857828306508893024e-02,2.303214378410012864e-01
-3.883104695569143061e+00,1.174836404354631192e+01,2.242770700879629597e+00,-7.394055456830744610e+00,9.943405868870947018e+00,-1.029108587887372250e+00,1.617350428162455778e+00,9.982116159857840287e+00,-2.251113784999789202e-01,-2.657584561190602934e-01,9.721601773465382124e+00,-7.936098584870968642e-01,1.139543565766897970e+00,3.203943544137402566e-01,1.630580932418290718e-01,1.293954664041011782e+00,5.402040755297932151e-05,4.734549880750643647e-04,-1.182760433112427234e-02,1.396401912375436205e-01
-4.041849902331670741e+00,1.171708715466732542e+01,2.125713678469409285e+00,-7.427810049666562442e+00,9.347522433961978905e+00,-9.015209262736424423e-01,1.651615334586983508e+00,9.750421227588310202e+00,-3.083774475732982134e-01,-5.928690108112230628e-02,9.922673440215014296e+00,-7.166350938646141033e-01,1.140597221077932488e+00,3.300312504903191724e-01,5.203197367829237585e-02,6.442581639279065797e-01,-1.910412297800867520e-06,1.479672717131605419e-03,-1.813650130836758079e-04,6.388053122520317983e-02
-3.524047698966039643e+00,1.137429305504140409e+01,2.029146995716365254e+00,-7.168029805169762625e+00,8.738291117211428372e+00,-8.004145490197785984e-01,1.552736385151895826e+00,9.635961692168113046e+00,-3.675602396686964424e-01,1.052577721386405152e-02,9.776766150938639655e+00,-6.687022896256914484e-01,1.140696371711646062e+00,3.337167189933138989e-01,-2.694027056638659268e-02,1.128415029267120229e-01,3.364720730802961413e-05,1.815247066137143372e-03,6.590802905194440009e-03,6.546441062511954012e-03
-3.324016663723439624e+00,1.103761756151984486e+01,1.899694076789146369e+00,-7.068822687878183686e+00,8.632330516340422477e+00,-7.434499622910148986e-01,1.819721493297964843e+00,9.697439462328615534e+00,-4.347397570630128771e-01,2.642072023926724800e-01,9.619792821454050014e+00,-6.449240822652948513e-01,1.140166805466935829e+00,3.327897573244933405e-01,-7.397370100235411972e-02,-2.748477108802364066e-01,1.145221025264930859e-04,1.692882722125185757e-03,9.057699573965405371e-03,-2.744628154016927335e-02
-3.216308545689285037e+00,1.117645733853903955e+01,1.791901262317146859e+00,-6.715964994038265523e+00,8.398614329842358117e+00,-5.711902510901334384e-01,1.903554976832016354e+00,9.637160621540763472e+00,-4.864537011206253592e-01,1.236500155301960280e-02,9.563449233697379981e+00,-5.843607770793731726e-01,1.139303644069967536e+00,3.286700360326132442e-01,-9.481099033824230693e-02,-5.289403850018032927e-01,2.038590486151958814e-04,1.334521856857270872e-03,8.349944454272895111e-03,-4.148333567902530439e-02
-2.540710601455319129e+00,1.100097555471750965e+01,1.649222567264405193e+00,-6.810132267001600681e+00,7.775013866514504102e+00,-5.445099880897150690e-01,1.786423630161058318e+00,9.504772692494782405e+00,-5.473895532992518742e-01,2.377491583277784870e-01,9.486334197184115524e+00,-5.262104456623667437e-01,1.138329996886159545e+00,3.225373624602225764e-01,-9.733517097247351701e-02,-6.832356317359454811e-01,2.710170991241378502e-04,9.099779713196143316e-04,4.469070937548197398e-03,-4.133538274781924093e-02
